task_id,conversation_type,duration_min,n_events_mean,event_rate_per_min,word_rate_wpm,words_sp1,words_sp2,wpm_sp1,wpm_sp2,ttr_sp1,ttr_sp2,silence_ratio,turn_count,turn_dur_mean,turn_dur_median,turn_dur_std,n_speaker_changes,fto_mean_s,fto_median_s,fto_n,speaker_balance,bc_rate_per_min,bc_ack_per_min,bc_cont_per_min,bc_react_per_min,int_rate_per_min,int_competitive_per_min,int_cooperative_per_min,int_floor_taking_per_min,int_non_floor_per_min,overlap_count_per_min,overlap_dur_s,laughter_rate_per_min,non_content_ratio,question_rate_per_min
2017,Switchboard,6.464,122.0,18.875,200.19,412,882,63.74,136.45,0.415,0.3163,0.1684,52,7.329,1.839,11.451,51,0.04,0.153,51,0.327,4.796,,,,0.464,,,0.464,0.0,3.404,7.87,1.238,0.0139,
2018,Switchboard,6.214,219.0,35.241,222.07,524,856,84.32,137.75,0.3588,0.3493,0.1122,105,3.86,2.529,3.69,104,-0.326,-0.053,104,0.4234,4.828,,,,3.701,,,3.057,0.644,11.747,33.42,0.644,0.0071,0.966
2019,Switchboard,7.28,106.0,14.561,183.11,639,694,87.78,95.33,0.4241,0.379,0.18,60,6.89,2.197,11.455,59,0.291,0.192,59,0.4536,3.984,,,,0.275,,,0.275,0.0,1.236,3.0,0.687,0.0202,1.236
2020,Switchboard,9.759,176.0,18.034,203.71,536,1452,54.92,148.78,0.3993,0.2355,0.1767,71,8.36,2.621,11.523,70,-0.14,0.078,70,0.2857,3.689,,,,1.23,,,1.23,0.0,3.381,15.82,3.177,0.007,1.127
2022,Switchboard,5.513,134.0,24.306,222.57,700,527,126.97,95.59,0.3586,0.3435,0.1578,58,5.892,2.809,8.963,57,-0.253,-0.238,57,0.5561,3.628,,,,1.995,,,1.995,0.0,6.53,19.2,0.0,0.0691,1.088
2023,Switchboard,10.003,183.0,18.294,183.74,1055,783,105.47,78.28,0.2692,0.3129,0.2943,107,4.956,3.148,6.272,106,0.65,0.53,106,0.5576,1.999,,,,0.0,,,0.0,0.0,1.6,3.97,3.399,0.0061,
2024,Switchboard,6.736,91.0,13.509,172.21,363,797,53.89,118.32,0.4545,0.399,0.2245,34,11.312,4.812,16.273,33,0.503,0.289,33,0.358,3.118,,,,0.0,,,0.0,0.0,1.188,1.65,1.781,0.0163,0.891
2025,Switchboard,5.844,110.0,18.821,236.12,640,740,109.51,126.62,0.4297,0.3703,0.1297,53,6.795,2.847,10.68,52,-0.277,-0.007,52,0.4378,2.909,,,,1.369,,,1.369,0.0,4.962,14.18,0.342,0.0084,0.684
2027,Switchboard,9.512,146.0,15.349,224.98,1075,1065,113.02,111.96,0.3098,0.2901,0.08,52,11.247,2.603,16.308,51,-0.351,-0.215,51,0.538,3.049,,,,0.946,,,0.841,0.105,3.259,18.27,3.049,0.0042,0.105
2028,Switchboard,9.993,153.0,15.31,154.8,781,766,78.15,76.65,0.3726,0.3616,0.2705,49,12.069,3.881,15.113,48,0.148,0.17,48,0.5119,4.703,,,,0.5,,,0.4,0.1,2.201,7.59,1.501,0.0233,0.6
2032,Switchboard,8.401,272.0,32.379,210.58,1157,612,137.73,72.85,0.2705,0.3056,0.1484,126,4.062,2.245,5.907,125,-0.082,-0.024,125,0.5898,2.857,,,,1.786,,,1.786,0.0,8.809,24.29,4.166,0.0146,2.5
2035,Switchboard,5.124,121.0,23.616,215.47,340,764,66.36,149.11,0.4824,0.2893,0.2005,62,4.871,2.411,6.644,61,0.029,0.099,61,0.3106,3.903,,,,0.976,,,0.781,0.195,4.879,9.62,0.976,0.0231,1.561
2036,Switchboard,5.219,152.0,29.125,203.3,645,416,123.59,79.71,0.3922,0.4087,0.1623,68,4.425,2.0,5.345,67,0.119,0.12,67,0.5546,5.174,,,,1.15,,,1.15,0.0,5.557,12.91,2.874,0.0294,
2038,Switchboard,9.998,77.0,7.701,180.53,771,1034,77.11,103.42,0.3956,0.3133,0.1849,37,16.136,7.144,19.254,36,0.043,0.094,36,0.4633,1.4,,,,0.2,,,0.2,0.0,1.7,8.49,0.5,0.0033,1.4
2039,Switchboard,8.221,172.0,20.922,161.9,866,465,105.34,56.56,0.3303,0.4387,0.2666,79,6.043,2.148,11.111,78,0.144,0.253,78,0.6097,3.649,,,,0.73,,,0.608,0.122,4.014,13.1,2.798,0.0038,1.581
2040,Switchboard,9.853,60.0,6.09,163.51,634,977,64.35,99.16,0.4101,0.347,0.2271,29,19.459,9.088,23.199,28,0.815,0.515,28,0.4317,1.827,,,,0.0,,,0.0,0.0,0.71,1.46,0.101,0.0033,0.71
2041,Switchboard,9.977,159.0,15.937,207.68,1116,956,111.86,95.82,0.3181,0.3023,0.1496,62,9.855,3.672,14.86,61,-0.239,-0.157,61,0.5384,3.909,,,,1.103,,,1.103,0.0,3.608,17.74,1.002,0.0088,1.103
2044,Switchboard,10.012,163.0,16.281,202.46,1223,804,122.15,80.3,0.2788,0.3843,0.1089,63,9.696,4.221,13.066,62,-0.187,-0.106,62,0.6086,3.196,,,,0.699,,,0.699,0.0,3.895,16.16,2.297,0.0035,
2045,Switchboard,6.659,123.0,18.47,183.8,845,379,126.89,56.91,0.3396,0.4011,0.2653,47,7.923,4.457,9.516,46,0.534,0.459,46,0.6666,5.856,,,,0.601,,,0.601,0.0,1.351,3.96,1.652,0.0378,
2050,Switchboard,9.046,143.0,15.809,190.48,777,946,85.9,104.58,0.3076,0.334,0.1484,57,9.673,7.097,9.452,56,-0.218,0.013,56,0.4758,3.98,,,,0.884,,,0.884,0.0,3.427,12.32,1.658,0.0074,
2051,Switchboard,10.011,121.0,12.086,154.92,347,1204,34.66,120.26,0.4092,0.3331,0.3165,54,10.817,3.379,16.409,53,0.291,0.083,53,0.2697,3.995,,,,0.2,,,0.2,0.0,1.998,6.08,0.4,0.0018,0.499
2053,Switchboard,5.976,151.0,25.266,175.86,456,595,76.3,99.56,0.4232,0.3798,0.2511,67,4.936,2.95,5.031,66,0.364,0.161,66,0.4539,4.685,,,,0.669,,,0.669,0.0,4.35,10.76,4.183,0.0096,1.171
2054,Switchboard,10.004,195.0,19.492,191.82,1149,770,114.85,76.97,0.3211,0.3597,0.1628,81,7.486,3.061,11.159,80,-0.107,-0.01,80,0.5995,5.798,,,,1.299,,,1.299,0.0,4.498,17.43,0.4,0.009,
2055,Switchboard,4.303,103.0,23.937,201.95,374,495,86.92,115.04,0.4973,0.396,0.219,56,4.564,2.976,4.465,55,-0.02,0.155,55,0.4379,3.021,,,,1.394,,,1.394,0.0,4.648,6.23,1.162,0.0178,
2056,Switchboard,5.934,91.0,15.336,186.56,723,384,121.84,64.71,0.3292,0.4271,0.2573,45,7.43,2.314,11.961,44,0.437,0.403,44,0.6389,4.55,,,,0.169,,,0.169,0.0,1.854,3.13,0.674,0.0065,
2057,Switchboard,9.993,92.0,9.206,187.93,1474,404,147.5,40.43,0.2639,0.4134,0.1701,43,13.931,4.63,18.01,42,-0.035,0.018,42,0.8001,1.501,,,,0.5,,,0.5,0.0,2.202,6.3,0.6,0.0058,
2060,Switchboard,5.593,94.0,16.807,156.8,512,365,91.54,65.26,0.4414,0.4767,0.2198,38,8.328,3.231,13.012,37,0.383,0.401,37,0.6166,5.006,,,,0.715,,,0.715,0.0,1.967,4.85,1.252,0.0211,2.324
2061,Switchboard,9.98,266.0,26.654,234.97,1509,836,151.2,83.77,0.2492,0.3278,0.1631,110,5.394,2.43,8.065,109,0.017,0.087,109,0.666,6.213,,,,0.802,,,0.802,0.0,5.411,18.74,0.802,0.0229,2.705
2062,Switchboard,9.991,102.0,10.209,200.88,674,1333,67.46,133.42,0.4184,0.2566,0.1652,43,13.83,4.2,17.059,42,0.069,0.154,42,0.3857,2.302,,,,0.3,,,0.3,0.0,2.102,8.62,0.5,0.0052,0.4
2064,Switchboard,7.106,171.0,24.065,205.89,740,723,104.14,101.75,0.3027,0.3458,0.2167,82,5.022,2.778,5.646,81,0.134,0.184,81,0.4501,4.363,,,,0.704,,,0.704,0.0,4.926,9.81,0.563,0.0163,0.844
2065,Switchboard,9.982,197.0,19.735,224.0,1122,1114,112.4,111.6,0.3021,0.3097,0.1342,77,7.967,3.258,11.416,76,-0.203,0.001,76,0.4867,3.907,,,,1.302,,,1.202,0.1,4.208,21.36,1.703,0.0144,1.002
2067,Switchboard,4.237,130.0,30.679,205.32,362,508,85.43,119.89,0.4116,0.3661,0.1412,57,4.886,2.942,4.497,56,-0.514,-0.188,56,0.4675,1.888,,,,3.54,,,2.832,0.708,11.328,21.17,2.36,0.0147,0.944
2071,Switchboard,5.736,84.0,14.643,163.34,469,468,81.76,81.58,0.3753,0.3846,0.2776,35,9.31,4.209,11.224,34,0.435,0.257,34,0.4802,3.835,,,,0.174,,,0.174,0.0,1.743,2.63,1.395,0.0083,1.395
2072,Switchboard,4.815,146.0,30.32,225.95,514,574,106.74,119.2,0.4008,0.3728,0.1998,74,3.841,1.154,6.29,73,0.026,0.101,73,0.5227,3.115,,,,0.623,,,0.623,0.0,7.269,10.89,1.454,0.0203,1.038
2073,Switchboard,8.215,112.0,13.633,179.42,805,669,97.99,81.43,0.3752,0.3737,0.2342,50,9.583,3.472,12.697,49,0.213,0.171,49,0.5135,4.139,,,,0.365,,,0.365,0.0,1.704,3.66,0.852,0.025,0.73
2078,Switchboard,9.983,287.0,28.748,211.15,1013,1095,101.47,109.68,0.3416,0.2977,0.2059,155,3.666,1.821,4.428,154,0.194,0.184,154,0.4697,4.107,,,,0.902,,,0.801,0.1,3.907,14.56,3.406,0.0177,3.907
2079,Switchboard,4.666,71.0,15.217,198.25,379,546,81.23,117.02,0.4644,0.4103,0.1779,36,7.646,3.327,12.509,35,0.053,0.128,35,0.5067,1.286,,,,0.0,,,0.0,0.0,3.429,4.53,1.072,0.0112,1.072
2080,Switchboard,7.206,127.0,17.624,195.39,837,571,116.15,79.24,0.3668,0.4028,0.2264,67,6.317,2.895,8.48,66,0.06,0.188,66,0.5923,3.053,,,,0.694,,,0.694,0.0,2.637,8.38,1.665,0.0117,
2082,Switchboard,5.145,82.0,15.937,203.1,480,565,93.29,109.81,0.4062,0.3752,0.1959,41,7.293,2.188,9.859,40,0.148,0.105,40,0.4618,3.693,,,,0.0,,,0.0,0.0,2.527,2.05,0.583,0.0151,
2083,Switchboard,6.388,155.0,24.266,220.27,598,809,93.62,126.65,0.388,0.3362,0.1712,54,6.946,2.257,11.452,53,0.089,0.187,53,0.4233,7.984,,,,0.626,,,0.626,0.0,3.131,10.58,3.914,0.0083,
2085,Switchboard,10.002,129.0,12.898,174.17,595,1147,59.49,114.68,0.3832,0.32,0.2977,68,8.227,2.345,15.818,67,0.594,0.366,67,0.3309,2.6,,,,0.2,,,0.2,0.0,1.2,3.62,0.8,0.0364,1.3
2086,Switchboard,7.675,161.0,20.977,204.95,1018,555,132.64,72.31,0.3251,0.3568,0.2054,74,5.996,1.679,11.112,73,0.17,0.178,73,0.581,4.56,,,,0.391,,,0.391,0.0,3.257,9.21,2.215,0.0114,0.782
2087,Switchboard,6.267,69.0,11.011,182.88,743,403,118.57,64.31,0.3634,0.3573,0.2327,33,10.512,6.511,13.182,32,0.792,0.853,32,0.6454,1.277,,,,0.16,,,0.16,0.0,1.277,2.44,1.596,0.0147,
2089,Switchboard,10.006,219.0,21.888,234.37,1160,1185,115.94,118.43,0.2724,0.2692,0.165,83,7.3,3.981,8.107,82,-0.083,-0.031,82,0.4922,6.097,,,,1.299,,,1.199,0.1,4.697,14.74,0.899,0.0183,
2090,Switchboard,5.583,148.0,26.51,206.35,783,369,140.25,66.1,0.3665,0.4417,0.2187,63,5.078,2.081,7.251,62,0.142,0.102,62,0.6485,4.657,,,,1.254,,,1.254,0.0,4.299,8.69,4.299,0.0188,2.329
2091,Switchboard,7.383,86.0,11.649,183.68,623,733,84.39,99.29,0.3066,0.367,0.1714,38,11.429,3.079,19.921,37,0.154,0.163,37,0.406,1.084,,,,0.813,,,0.813,0.0,2.303,11.74,2.574,0.0023,
2092,Switchboard,6.672,162.0,24.282,234.58,1003,562,150.34,84.24,0.2792,0.3986,0.2136,86,4.627,1.819,6.703,85,0.003,0.063,85,0.6513,4.497,,,,1.349,,,0.899,0.45,5.996,11.08,0.0,0.0064,3.298
2093,Switchboard,5.757,86.0,14.939,206.37,750,438,130.28,76.08,0.356,0.4566,0.2107,52,6.392,2.62,7.985,51,0.178,0.245,51,0.5844,2.085,,,,0.521,,,0.521,0.0,2.085,5.37,0.347,0.0142,0.869
2094,Switchboard,7.311,97.0,13.267,185.33,882,473,120.64,64.69,0.3651,0.4651,0.1817,37,11.645,6.943,14.397,36,0.091,0.13,36,0.6344,4.103,,,,0.547,,,0.547,0.0,2.325,9.34,0.957,0.0055,1.641
2095,Switchboard,4.737,92.0,19.422,195.9,553,375,116.74,79.16,0.358,0.4347,0.1918,35,7.872,3.371,8.085,34,0.172,0.167,34,0.6051,3.167,,,,0.211,,,0.211,0.0,2.955,6.23,3.589,0.0329,0.633
2096,Switchboard,8.199,149.0,18.172,210.51,836,890,101.96,108.55,0.3529,0.3135,0.176,55,8.593,4.524,8.832,54,0.286,0.231,54,0.4506,5.854,,,,0.122,,,0.122,0.0,1.464,4.28,2.439,0.0267,
2101,Switchboard,6.685,109.0,16.306,173.08,683,474,102.17,70.91,0.3499,0.384,0.1942,44,8.912,3.965,11.333,43,0.139,0.107,43,0.5962,4.338,,,,0.449,,,0.449,0.0,2.693,3.78,1.346,0.0176,0.449
2102,Switchboard,7.721,152.0,19.687,212.54,1008,633,130.56,81.99,0.3155,0.387,0.1917,71,6.302,2.675,7.718,70,0.177,0.143,70,0.5663,3.497,,,,0.389,,,0.389,0.0,3.497,7.81,2.202,0.0137,1.943
2104,Switchboard,3.101,23.0,7.418,147.71,174,284,56.12,91.59,0.592,0.493,0.3252,11,16.287,15.443,15.419,10,0.452,0.214,10,0.3918,1.29,,,,0.0,,,0.0,0.0,0.645,0.39,0.0,0.0103,0.323
2105,Switchboard,4.605,199.0,43.215,224.98,444,592,96.42,128.56,0.4234,0.4071,0.0956,89,3.483,2.154,4.172,88,-0.419,-0.226,88,0.5245,3.692,,,,4.56,,,3.909,0.651,16.504,34.59,1.52,0.0189,2.172
2107,Switchboard,8.858,260.0,29.351,223.97,1022,962,115.37,108.6,0.3376,0.3119,0.1321,103,5.04,2.223,6.768,102,0.086,0.068,102,0.5122,6.66,,,,1.016,,,1.016,0.0,4.628,15.65,5.419,0.0072,1.016
2108,Switchboard,9.979,85.0,8.518,204.23,976,1062,97.81,106.42,0.3289,0.3286,0.1943,37,16.132,3.701,32.506,36,0.021,0.192,36,0.5114,1.603,,,,0.301,,,0.301,0.0,1.503,6.42,1.303,0.0025,
2109,Switchboard,7.181,147.0,20.471,187.86,431,918,60.02,127.84,0.4455,0.3017,0.1339,65,6.788,3.149,9.5,64,-0.21,-0.061,64,0.3754,2.646,,,,1.393,,,1.393,0.0,5.152,14.29,2.367,0.0054,0.557
2110,Switchboard,8.984,209.0,23.264,195.68,946,812,105.3,90.38,0.3414,0.3645,0.2646,105,4.716,1.92,6.654,104,0.397,0.406,104,0.5767,2.56,,,,0.89,,,0.89,0.0,3.451,17.05,3.339,0.0181,1.67
2111,Switchboard,9.3,167.0,17.957,190.21,629,1140,67.63,122.58,0.3927,0.2658,0.2178,64,8.679,2.212,14.509,63,-0.01,0.131,63,0.3847,4.946,,,,0.215,,,0.215,0.0,2.688,8.89,0.753,0.0127,0.215
2113,Switchboard,5.111,162.0,31.698,196.45,594,410,116.22,80.22,0.4074,0.4268,0.1586,73,4.248,2.384,5.724,72,-0.1,0.042,72,0.6159,4.5,,,,1.565,,,1.565,0.0,6.653,12.22,3.522,0.022,2.544
2114,Switchboard,4.339,86.0,19.822,192.69,406,430,93.58,99.11,0.4187,0.4465,0.1432,44,5.923,2.346,8.266,43,-0.071,0.056,43,0.4828,1.844,,,,1.152,,,1.152,0.0,3.918,5.2,0.922,0.0198,
2116,Switchboard,9.982,201.0,20.137,209.38,1251,839,125.33,84.05,0.3125,0.3337,0.2151,102,5.699,3.474,5.924,101,0.161,0.242,101,0.5592,6.011,,,,1.302,,,1.202,0.1,3.206,15.58,0.301,0.0033,
2118,Switchboard,4.953,73.0,14.737,170.59,439,406,88.62,81.96,0.4829,0.4704,0.099,29,10.12,6.415,10.156,28,0.037,-0.032,28,0.5185,2.624,,,,0.606,,,0.606,0.0,3.028,7.06,1.009,0.0149,
2120,Switchboard,1.339,32.0,23.898,164.3,133,87,99.33,64.97,0.6165,0.6667,0.1675,11,7.024,0.987,12.541,10,0.001,0.071,10,0.6478,4.481,,,,0.747,,,0.747,0.0,4.481,2.2,0.747,0.0845,0.0
2121,Switchboard,10.004,177.0,17.692,182.52,1060,766,105.95,76.57,0.3519,0.3603,0.2314,67,8.668,4.904,10.894,66,0.243,0.308,66,0.6131,3.998,,,,0.7,,,0.7,0.0,2.699,11.62,0.8,0.0319,1.699
2122,Switchboard,7.459,153.0,20.512,230.73,1376,345,184.48,46.25,0.2391,0.3681,0.1169,54,8.424,2.115,12.457,53,-0.194,0.045,53,0.7295,7.508,,,,0.402,,,0.402,0.0,3.486,9.13,1.609,0.0052,0.67
2123,Switchboard,2.122,65.0,30.63,213.47,270,183,127.23,86.24,0.4481,0.6175,0.1004,23,5.941,4.403,4.89,22,-0.554,-0.294,22,0.5567,3.77,,,,2.827,,,2.827,0.0,9.425,9.78,1.885,0.0513,
2124,Switchboard,4.014,76.0,18.933,201.29,554,254,138.01,63.28,0.3664,0.5157,0.1603,22,10.649,3.19,14.104,21,0.175,0.2,21,0.6752,5.979,,,,0.249,,,0.249,0.0,1.993,2.59,2.242,0.0144,1.495
2125,Switchboard,6.37,83.0,13.029,200.93,555,725,87.12,113.81,0.418,0.3462,0.2016,40,9.001,3.7,11.013,39,-0.036,0.116,39,0.4239,2.198,,,,0.628,,,0.628,0.0,2.826,6.36,1.256,0.0042,0.471
2129,Switchboard,7.436,119.0,16.003,188.54,361,1041,48.55,139.99,0.4571,0.243,0.2237,52,8.627,2.75,14.02,51,-0.118,0.068,51,0.2727,4.034,,,,1.076,,,0.941,0.134,3.9,15.44,0.269,0.0086,
2130,Switchboard,7.902,106.0,13.415,166.8,899,419,113.78,53.03,0.3493,0.5203,0.2195,48,9.813,4.335,14.281,47,0.003,0.055,47,0.6839,2.658,,,,0.633,,,0.633,0.0,3.164,8.94,0.127,0.0142,0.38
2131,Switchboard,10.006,311.0,31.082,192.49,919,1007,91.85,100.64,0.3471,0.3108,0.0946,123,5.051,3.797,4.837,122,-0.175,-0.068,122,0.4981,5.797,,,,1.999,,,1.999,0.0,6.796,40.13,2.598,0.0288,1.699
2136,Switchboard,10.009,245.0,24.478,223.0,1233,999,123.19,99.81,0.2425,0.2563,0.1197,73,7.993,2.92,9.864,72,0.204,0.188,72,0.5398,7.194,,,,0.699,,,0.699,0.0,2.897,12.61,1.499,0.1406,
2137,Switchboard,3.978,53.0,13.323,188.04,414,334,104.07,83.96,0.4348,0.4401,0.2168,28,8.203,5.426,7.466,27,0.189,0.143,27,0.5357,0.503,,,,0.503,,,0.251,0.251,2.514,2.84,0.0,0.0337,2.514
2139,Switchboard,9.452,121.0,12.802,179.33,864,831,91.41,87.92,0.3229,0.3345,0.2446,40,14.177,3.358,22.013,39,-0.083,0.041,39,0.4823,4.444,,,,0.212,,,0.212,0.0,1.904,5.25,2.116,0.0024,0.317
2141,Switchboard,10.004,264.0,26.391,214.42,1101,1044,110.06,104.36,0.3261,0.272,0.1997,149,3.956,1.87,4.889,148,0.056,0.142,148,0.5135,4.398,,,,1.1,,,1.1,0.0,5.298,16.77,0.8,0.0163,
2145,Switchboard,8.434,110.0,13.043,167.78,465,950,55.14,112.64,0.4043,0.3547,0.2296,44,11.272,2.132,17.323,43,0.151,0.1,43,0.3539,3.676,,,,0.711,,,0.711,0.0,2.609,13.03,0.356,0.0166,0.949
2149,Switchboard,8.553,233.0,27.241,230.67,1068,905,124.87,105.81,0.2978,0.2972,0.1193,110,4.847,2.331,5.747,109,-0.214,-0.028,109,0.488,2.455,,,,2.221,,,2.221,0.0,6.898,32.68,2.806,0.0244,1.052
2150,Switchboard,9.998,199.0,19.904,204.54,1389,656,138.93,65.61,0.2405,0.3491,0.1804,84,7.006,3.078,8.818,83,0.126,0.064,83,0.6296,5.001,,,,0.9,,,0.9,0.0,4.001,18.37,0.9,0.0341,
2151,Switchboard,2.832,67.0,23.659,221.41,387,240,136.66,84.75,0.4496,0.4792,0.1387,29,6.259,2.901,7.513,28,-0.523,-0.052,28,0.5722,2.119,,,,2.472,,,2.119,0.353,6.003,7.05,2.472,0.0206,1.059
2152,Switchboard,8.366,209.0,24.983,197.35,988,663,118.1,79.25,0.3178,0.3575,0.1977,100,4.865,1.967,6.747,99,0.122,0.196,99,0.5719,6.455,,,,0.956,,,0.956,0.0,4.184,15.42,2.032,0.0025,
2153,Switchboard,9.207,143.0,15.531,183.98,650,1044,70.6,113.39,0.3615,0.3266,0.2267,66,7.734,2.975,9.722,65,0.591,0.465,65,0.4291,3.15,,,,0.109,,,0.109,0.0,1.303,2.98,3.693,0.002,
2154,Switchboard,9.994,87.0,8.705,154.99,821,728,82.15,72.84,0.3788,0.4203,0.2658,46,12.136,6.165,11.604,45,0.779,0.818,45,0.522,2.501,,,,0.5,,,0.5,0.0,0.8,2.56,0.3,0.0265,1.301
2155,Switchboard,10.011,119.0,11.887,219.46,795,1402,79.41,140.05,0.3233,0.2675,0.1106,34,17.537,5.591,23.904,33,0.061,0.105,33,0.399,5.594,,,,0.499,,,0.499,0.0,1.798,9.56,0.2,0.0159,0.1
2157,Switchboard,9.983,125.0,12.522,181.21,1345,464,134.73,46.48,0.2647,0.4871,0.2471,62,9.04,3.263,13.923,61,0.55,0.261,61,0.7207,2.003,,,,0.401,,,0.401,0.0,1.803,10.35,1.302,0.0297,2.104
2158,Switchboard,9.99,229.0,22.923,227.53,949,1324,94.99,132.53,0.3161,0.3066,0.1383,117,5.189,1.932,9.071,116,-0.083,0.05,116,0.4139,3.503,,,,1.301,,,1.301,0.0,5.305,17.17,0.601,0.0125,
2160,Switchboard,6.781,122.0,17.991,196.72,839,495,123.73,73.0,0.3159,0.4465,0.1554,60,6.808,1.966,11.539,59,-0.065,0.055,59,0.5447,3.392,,,,0.59,,,0.59,0.0,4.129,10.09,0.147,0.008,1.77
2161,Switchboard,5.611,156.0,27.8,194.25,523,567,93.2,101.04,0.4092,0.4321,0.0875,76,4.662,2.487,6.647,75,-0.291,-0.084,75,0.4876,3.208,,,,2.317,,,2.138,0.178,7.841,24.16,0.891,0.0269,
2162,Switchboard,10.009,231.0,23.079,186.83,1023,847,102.21,84.62,0.3392,0.3412,0.1146,106,5.844,3.157,8.146,105,-0.193,-0.035,105,0.5558,3.996,,,,1.698,,,1.698,0.0,6.194,28.27,1.299,0.0077,
2163,Switchboard,3.159,91.0,28.808,182.03,259,316,81.99,100.04,0.5367,0.481,0.1288,38,5.184,3.749,4.807,37,-0.298,-0.076,37,0.4954,5.698,,,,1.899,,,1.899,0.0,7.598,11.07,2.849,0.0271,0.317
2164,Switchboard,9.991,140.0,14.013,190.58,1273,631,127.42,63.16,0.2907,0.3534,0.202,68,8.675,2.756,11.338,67,0.118,0.178,67,0.6731,2.702,,,,0.701,,,0.701,0.0,3.103,13.02,0.601,0.0063,
2165,Switchboard,10.012,156.0,15.582,174.69,788,961,78.71,95.99,0.3731,0.3267,0.1657,54,10.63,5.723,11.123,53,0.481,0.337,53,0.4356,4.794,,,,0.499,,,0.499,0.0,1.498,8.56,2.697,0.0095,
2166,Switchboard,9.688,169.0,17.444,195.91,1080,818,111.48,84.43,0.3204,0.3301,0.2268,68,8.493,3.0,13.585,67,0.014,0.111,67,0.5743,4.645,,,,1.032,,,0.929,0.103,3.303,18.27,1.652,0.011,
2167,Switchboard,7.306,165.0,22.584,166.85,279,940,38.19,128.66,0.5484,0.3319,0.2559,93,4.445,1.926,6.672,92,0.244,0.214,92,0.2646,4.106,,,,1.095,,,1.095,0.0,3.832,9.35,0.958,0.0119,
2168,Switchboard,10.005,169.0,16.892,205.71,1038,1020,103.75,101.95,0.3256,0.3088,0.1807,89,6.581,2.998,9.155,88,0.159,0.167,88,0.5078,2.599,,,,0.7,,,0.7,0.0,3.398,13.99,1.299,0.0187,2.899
